Nama_Produk,Pembeli,Pengguna,Komentar
ASUS A407MA-BV001T 14" HD,52,j***3,mantap jiwa
ASUS A407MA-BV001T 14" HD,52,F***i,no comment yg pasti murah ya di jd id
ASUS A407MA-BV001T 14" HD,52,E***y,puaaaas banget ori sampai dengan cepaat
ASUS A407MA-BV001T 14" HD,52,J***6,Tq
ASUS A407MA-BV001T 14" HD,52,E***a,puaspenggiriman juga gak terlalu lama
ASUS A407MA-BV001T 14" HD,52,f***9,Sangat
ASUS A407MA-BV001T 14" HD,52,N***a,cepat sampaimurahbarang ori okedeh Jdid
ASUS A407MA-BV001T 14" HD,52,k***n,Barang sangat baik dikirim dengan kurir jdid sendiri sehingga sangat aman Barang sesuai kualitas asus original Produk untuk office working sehari2 ok batere cukup tahan lama laptop praktis ringan Adanya fingerprint menjadi nilai tambah
ASUS A407MA-BV001T 14" HD,52,n***0,Pengiriman cepat tapi packingnya gak pake packing kayu cuma plastik doang
ASUS A407MA-BV001T 14" HD,52,A***a,good
ASUS X441MA-GA011T 14" HD,96,N***i,sangat puas belanja disini
ASUS X441MA-GA011T 14" HD,96,e***1,barang diterima dengan baik semoga awet
ASUS X441MA-GA011T 14" HD,96,l***7,Bagus
ASUS X441MA-GA011T 14" HD,96,b***n,ntaps
ASUS X441MA-GA011T 14" HD,96,l***o,Murah
ASUS X441MA-GA011T 14" HD,96,m***y,Mantab jiwa
ASUS X441MA-GA011T 14" HD,96,m***8,pengiriman cepat
ASUS X441MA-GA011T 14" HD,96,i***0,puas
ASUS X441MA-GA011T 14" HD,96,a***i,mantap
ASUS X441MA-GA011T 14" HD,96,S***7,laptop ok pengiriman sangat cepat wlpn diskon dpt harga 38 packing saja yg tidak dilapisin cover tambahan
ASUS A442UR-GA041T 14",285,n***y,Terbaaaaaik Jdid makasih yah  pertahankan kecepatan pengiriman originalitas barang dan kualitas barang good sukses selalu
ASUS A442UR-GA041T 14",285,K***n,okkkkkkkkkkkkkk
ASUS A442UR-GA041T 14",285,V***y,y
ASUS A442UR-GA041T 14",285,D***9,Produk sesuai Puas Semoga awet
ASUS A442UR-GA041T 14",285,R***9,MANTAP DAPAT DISKON
ASUS A442UR-GA041T 14",285,t***a,puas berbelanja di sini pengiriman juga cepetyg jelas harganya oke
ASUS A442UR-GA041T 14",285,_***_,Sy akan berikan ulasan agar berguna bagi calon pembeli Karena sama seperti anda sebelum sy memutuskan membeli laptop ini sy juga membaca ulasan dari pembeli sebelum sy Maka biasakanlah utk memberikan ulasan yg detail agar berguna bagi kita semua dalam memutuskan utk beli atau tidak ok   1 Secara keseluruhan laptop ini bagus layak di beli Ada kekurangannya nanti sy sebut di bawah 2 Sudah terinstall windows 10 home dan aplikasi lainnya Tidak ada bloatware yg tidak mengganggu kecuali aplikasi by default dr Asus tapi bisa di uninstall 3 Kemampuan mumpuni bisa menjalankan aplikasi prmiere pro aftr effct phtoshop tanpa hambatan namun tentu saja utk pemakaian normal ingat ini bukan laptop spek dewa jadi sesuaikan dgn kebutuhan anda 4 Suara dr speaker bagus keyboard enak fan ga bising tampilan keren cukup tipis ga berat2 amat namunnn 5 Tampilan display layarnya koq kurang tajam dan kurang jelas ya saat menampilkan huruf2 pada explorer dan aplikasi Opacity nya seperti tidak 100 bukan blurry ya cuma kurang tegas huruf2 nya Apa cuma di laptop sy aja Atau bug pd windows 10 bawaan laptop nya Sy kurang paham Sekian ulasan sy semoga bermanfaat
ASUS A442UR-GA041T 14",285,h***3,pelayanan jdid sangat memuaskan
ASUS A442UR-GA041T 14",285,h***n,barang sesuai deskripsi pengiriman cepat terima kasih
ASUS A442UR-GA041T 14",285,h***d,lumayan walaupun pengirimannya lama
ASUS X441MA-GA012T 14" HD,84,F***i,dijamin ori laptopnya ok packing bagus smog awet
ASUS X441MA-GA012T 14" HD,84,V***y,k
ASUS X441MA-GA012T 14" HD,84,V***y,i
ASUS X441MA-GA012T 14" HD,84,R***k,harga lebih murah dibandingkan beli di tokotapi tidak ada CDnya
ASUS X441MA-GA012T 14" HD,84,E***a,puas
ASUS X441MA-GA012T 14" HD,84,T***o,Dapet murah lagi
ASUS X441MA-GA012T 14" HD,84,C***g,
ASUS X441MA-GA012T 14" HD,84,C***g,
ASUS X441MA-GA012T 14" HD,84,s***e,Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi original pemesanan cep Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang origi Mantap barang original pemesanan cepet sampAi  Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi Mantap barang original pemesanan cepet sampAi nal pemesanan cepet sampAi pemesanan cepet sampAi Mantap barang original pemesanan ce
ASUS X441MA-GA012T 14" HD,84,y***3,ok
ASUS A407MA-BV002T 14" HD,35,R***u,pengiriman cepat pembelian laptop ke dua di JDid ga berani ke tempat lain
ASUS A407MA-BV002T 14" HD,35,r***d,mantab dahpacking rapih dan aman pengiriman cepat belum di coba sihcz mau buat keponakan overall puas
ASUS A407MA-BV002T 14" HD,35,d***8,mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap
ASUS A407MA-BV002T 14" HD,35,j***v,Thanks pengiriman cepat dan masih segel
ASUS A407MA-BV002T 14" HD,35,i***0,ty
ASUS A407MA-BV002T 14" HD,35,R***9,Ori
ASUS A407MA-BV002T 14" HD,35,R***9,Ori
ASUS A407MA-BV002T 14" HD,35,j***4,Terima kasih order saya laptop asus vivobook sudah sampai semuanya bagus saya sangat suka  Tinggal modem dan ektension usb belum datang
ASUS A407MA-BV002T 14" HD,35,K***g,kiriman cepat bayar tgl 19 padahal tgl20 hari liburtgl 21 siang udah sampaimemang top jdid
ASUS A407MA-BV002T 14" HD,35,j***b,bagus banget
ASUS X441MA-GA014T 14" HD,66,l***9,luar biasabarang sesuai yg d pesanjdid hebat
ASUS X441MA-GA014T 14" HD,66,m***a,murah free ongkir
ASUS X441MA-GA014T 14" HD,66,d***h,selalu memuaskan belanja di jsid
ASUS X441MA-GA014T 14" HD,66,j***v,sangat memuaskan
ASUS X441MA-GA014T 14" HD,66,c***3,barangnya ok banget paling murah diantara yg lain
ASUS X441MA-GA014T 14" HD,66,A***S,ok bgt
ASUS X441MA-GA014T 14" HD,66,d***8,mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap
ASUS X441MA-GA014T 14" HD,66,l***i,Produk okos windows 10 udah preinstalled
ASUS X441MA-GA014T 14" HD,66,d***8,PUAS
ASUS X441MA-GA014T 14" HD,66,A***n,puas banget pengiriman cepat
ASUS X441UA-GA314T 14" HD,15,F***i,murah
ASUS X441UA-GA314T 14" HD,15,l***a,puas murah cepet
ASUS X441UA-GA314T 14" HD,15,s***1,Sukaa dengan laptop nya Warna putih nya bikin jatuh hati Performa laptop juga ga di ragukan lagi sesuai deskripsi plus free WIN 10 Packing rapi dan aman Walau dikirim saat hujan bebas khawatir kena basah karena packing sampai beberapa lapisan Udah gitu dapet free tas nya juga Puas banget deeh belanja di JDID selalu dapat yg ORI
ASUS X441UA-GA314T 14" HD,15,s***a,Mantap
ASUS X441UA-GA314T 14" HD,15,s***a,Mantap
ASUS X441UA-GA314T 14" HD,15,I***R,Thanks
ASUS X441UA-GA314T 14" HD,15,I***R,Thankss
ASUS X441UA-GA314T 14" HD,15,f***9,Pada saat beli laptop ini cs nya bilang tidak dapet tas Ternyata pas dibuka box nya ada tas dari Asus nya langsung Di luar ekspektasi Pas beli laptop ini juga udah bandingin sama online shop lain dan harga di jdid lebih murah karena ada diskon 500000 Recommended for the originality
ASUS X441UA-GA314T 14" HD,15,s***e,Mantap
ASUS X441UA-GA314T 14" HD,15,j***8,ya
ASUS A407UA-BV319T 14" HD,27,a***4,work it saya seneng sekali dgn kurir baik hati
ASUS A407UA-BV319T 14" HD,27,K***n,ok dan sesuai pesanan
ASUS A407UA-BV319T 14" HD,27,j***y,Barang mantap spesifikasi sesuai harapan Fingerprint sensor berfungsi normal  Kecepatan pengiriman perlu ditingkatkan Thanks
ASUS A407UA-BV319T 14" HD,27,y***y,lumayan
ASUS A407UA-BV319T 14" HD,27,a***6,sudah diterima semoga awet terimakasih JDid
ASUS A407UA-BV319T 14" HD,27,V***A,pengiriman cepat notebooknya ringan
ASUS A407UA-BV319T 14" HD,27,s***4,Nice
ASUS A407UA-BV319T 14" HD,27,s***4,Good
ASUS A407UA-BV319T 14" HD,27,s***4,Nice
ASUS A407UA-BV319T 14" HD,27,r***o,Original
ASUS X441UA-GA311T 14" HD,25,d***8,Mantap
ASUS X441UA-GA311T 14" HD,25,l***a,puas murah cepat top markotop
ASUS X441UA-GA311T 14" HD,25,s***g,dapat promo 56jt
ASUS X441UA-GA311T 14" HD,25,j***e,ya
ASUS X441UA-GA311T 14" HD,25,F***i,berkali kali belanjapuas
ASUS X441UA-GA311T 14" HD,25,s***a,Mantap
ASUS X441UA-GA311T 14" HD,25,I***R,Thanks
ASUS X441UA-GA311T 14" HD,25,j***w,braang ori  backpak
ASUS X441UA-GA311T 14" HD,25,o***a,memuaskan pengiriman cepat
ASUS X441UA-GA311T 14" HD,25,j***8,ya
ASUS X441MA-GA013T 14" HD,41,D***o,joss
ASUS X441MA-GA013T 14" HD,41,V***y,y
ASUS X441MA-GA013T 14" HD,41,y***h,good
ASUS X441MA-GA013T 14" HD,41,A***n,Pengiriman super kilat amp barang packing rapi Barang ORI Sudah di otak atik laptop nya amp hasil nya Baguus  Lumayan for student
ASUS X441MA-GA013T 14" HD,41,I***R,Thanks
ASUS X441MA-GA013T 14" HD,41,d***8,mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap
ASUS X441MA-GA013T 14" HD,41,i***0,ok
ASUS X441MA-GA013T 14" HD,41,v***a,Terima Kasih Barang Sudah sampai
ASUS X441MA-GA013T 14" HD,41,l***a,puas banget banyak discount
ASUS X441MA-GA013T 14" HD,41,s***4,Trims jdid
ASUS A407UA-BV320T 14",19,A***n,packing rapihbaranf berfungsi dengan baik semoga awet
ASUS A407UA-BV320T 14",19,j***1,Barang berkualitas sesuai ekspektasi Dikirim dalam 3 hari ke tempat saya di daerah Jakarta Pusat Overall memuaskan Thanks JD ID
ASUS A407UA-BV320T 14",19,R***y,pesan warna Gold yg dikirim Silver tidak sesuai harapan lama pula
ASUS A407UA-BV320T 14",19,j***c,lumayan lah harga worth it
ASUS A407UA-BV320T 14",19,s***4,Ori ya jdid sesuai pesanan
ASUS A407UA-BV320T 14",19,l***a,terimakasih atas kerja samanya proses sangat cepat dan hari minggu libur barang langsung saya terima 
ASUS A407UA-BV320T 14",19,y***n,Barang sampai dengan mulus
ASUS A407UA-BV320T 14",19,f***a,pengiriman cepat
ASUS A407UA-BV320T 14",19,y***h,MAKASI BANG KURIR SUPER GANTENG
ASUS A407UA-BV320T 14",19,y***h,promolaptopsupermurah
ASUS A442UR-GA043T 14",90,A***n,barang bagus tidak ada cacat fisik dan packing rapih
ASUS A442UR-GA043T 14",90,l***y,benar2 syantik warnanya
ASUS A442UR-GA043T 14",90,i***i,Barang sesuai pesanan mantap berfungsi normal
ASUS A442UR-GA043T 14",90,l***y,gila MKSIII LAPTOP MURAHH BNGT PACKING RAPII SPERTI BIASAAQ MAKASII JDDD
ASUS A442UR-GA043T 14",90,l***y,hrg gila mumerr broo
ASUS A442UR-GA043T 14",90,l***y,hrg gila mntpp broo mksi jd
ASUS A442UR-GA043T 14",90,l***y,hrg gilaa sii
ASUS A442UR-GA043T 14",90,l***y,MKSIII LAPTOP MURAHH BNGT PACKING RAPII SPERTI BIASAAQ MAKASII JDDD
ASUS A442UR-GA043T 14",90,l***y,MKSIII LAPTOP MURAHH BNGT PACKING RAPII SPERTI BIASAAQ MAKASII JDDD TRIMS
ASUS A442UR-GA043T 14",90,l***y,MKSIII LAPTOP MURAHH BNGT PACKING RAPII SPERTI BIASAAQ MAKASII JDDD
ASUS A407UF-BV061T 14" HD,3,d***i,Produk sesuai deskripsi diskon lagi
ASUS A407UF-BV061T 14" HD,3,j***0,bagus
ASUS A407UF-BV061T 14" HD,3,m***o,Pro   dapat bonus tas ransel lumayan buat bawa laptop jarak dekat jarak jauh prefer beli tas Laptop sendiri Karena ranselnya khusus laptop jadi barang bawaan gak kebawa semua Harga sesuai dan kualitas istimewa  Cons  Pengiriman tanpa packing kayu dan bubble wrap Selain itu agak lama Semoga kedepannya ditingkatkan Ini barang elektronik masak packingnya cuman pake kardus bawaan saja Untung saja sampai tidak rusak
ASUS A407UF-BV512T 14" HD,2,n***m,mantap tanpa kendala
ASUS A407UF-BV512T 14" HD,2,r***a,overall oke bgt hanya sama dgn tmn2 yg udah order duluan kemasannya kalo bisa tambahin bubble karena kan abang2 kurirnya pake motor selebihnyaa goood
ASUS A407UF-BV062T 14" HD,4,y***3,yes
ASUS A407UF-BV062T 14" HD,4,i***o,Produk diterima masih dalam kondisi segel memuaskan terima kasih
ASUS A407UF-BV062T 14" HD,4,l***u,unit sudah diterima mantappp  semoga awetamp tdk rewel
ASUS A407UF-BV062T 14" HD,4,c***m,dapat harga spesial promo
ASUS X441UA-GA313T 14" HD,9,j***g,Thanks bayar hari ini besok sampe tu barang packing rapi aman barang ori spec sesuai excellent beli pas promo dapet kupon vocer juga ya mayan mengurangi harga laptop yg naik gara gara harga dollar yg naik makasih jd id
ASUS X441UA-GA313T 14" HD,9,d***8,Mantap
ASUS X441UA-GA313T 14" HD,9,l***a,puas murah cepet
ASUS X441UA-GA313T 14" HD,9,s***a,Mantap
ASUS X441UA-GA313T 14" HD,9,I***R,Thanks
ASUS X441UA-GA313T 14" HD,9,s***e,Mantap
ASUS X441UA-GA313T 14" HD,9,s***4,Good
ASUS X441UA-GA313T 14" HD,9,s***4,Good jdid
ASUS X441UA-GA313T 14" HD,9,W***y,pengiriman lama sekali sampai 1 minggu padahal jakarta area tidak bisa byar pkai mesin edc debit dikarenakan info dri kurir tidak dibawakan dri kantor dan org kantor bilang tidak usah hwhwhwh
ASUS X441UA-GA313T 14" HD,9,y***h,asus i3 termurah
ASUS A407UF-BV511T 14" HD,1,F***z,Barang sesuai amp proses pengiriman cepat Mantap 
ASUS FX504GD-E4309T 15.6" FHD,2,a***9,barang sesuai ori cm pengirimannya lama
ASUS FX504GD-E4309T 15.6" FHD,2,d***s,produk sesuai deskripsi sejauh ini berjalan normal ORI punya thanks JD ID
ASUS TP203NAH-BP001T 11.6" Touch,12,l***y,Trims Jd super cepat
ASUS TP203NAH-BP001T 11.6" Touch,12,l***y,Trims Jd
ASUS TP203NAH-BP001T 11.6" Touch,12,l***y,TRMS
ASUS TP203NAH-BP001T 11.6" Touch,12,N***9,in laptop baru kenapa lemot Dan suka ngehang sis mau diretur tapi males ribet lama lagi prosesnya
ASUS TP203NAH-BP001T 11.6" Touch,12,b***9,bagus
ASUS TP203NAH-BP001T 11.6" Touch,12,R***y,Cukup memuaskan tapi pengemasannya mengecewakan hanya di bungkus plastik Barang sangat beresiko tinggi menjadi rusak atau minimal lecet lain kali tolong di perhatukan pengemasannya ya
ASUS TP203NAH-BP001T 11.6" Touch,12,g***1,alhamdulillah barang sudah sampai dengan selamat estimasi 14 hari tapi dampai nya malah 1 minggu capek nunggu barangnya padahal mau di pake packaging ga pake kayu tapi untung ga kenapaquot   terima kasih JDID harga murah  gratis ongkir cocok buat yang butuh dan sabar sayang saya ga sabar haha  isi dusnya cuma leptop sama charger berasa beli batang ga dapet asus pen huhu  tapi overall masih bisa di maklumi
ASUS TP203NAH-BP001T 11.6" Touch,12,m***7,Barang original dan garansi resmi pengiriman cepat
ASUS TP203NAH-BP001T 11.6" Touch,12,r***0,pesan pagi sorenya sampe mantab
ASUS TP203NAH-BP001T 11.6" Touch,12,j***n,laptop bagus ORIG
ASUS X505ZA-BR701T 15.6" HD,1,c***o,barang sesuai dengan spesifikasi toko
ASUS A407MA-BV401T 14" HD,2,v***a,Terima Kasih Barang Sudah sampai
ASUS A407MA-BV401T 14" HD,2,i***0,good
ASUS A407UF-BV073T 14" HD,1,M***0,Pengiriman express belum dibukasemoga sesuai
ASUS X441UA-GA312T 14" HD,3,j***b,harga terbaik
ASUS X441UA-GA312T 14" HD,3,I***g,Laptop Recommended
ASUS X441UA-GA312T 14" HD,3,K***A,kemasan ok
ASUS P2430UA-WO1113T 14",1,s***z,Bagus semoga awet trimakasih
ASUS E402WA-GA001T 14",160,l***a,puas murah
ASUS E402WA-GA001T 14",160,t***r,baru pesan kmrn sore hr ini sudah sampai
ASUS E402WA-GA001T 14",160,m***a,thanks
ASUS E402WA-GA001T 14",160,V***y,ok
ASUS E402WA-GA001T 14",160,n***s,1234
ASUS E402WA-GA001T 14",160,n***s,abc
ASUS E402WA-GA001T 14",160,n***s,yuhu
ASUS E402WA-GA001T 14",160,n***s,sip
ASUS E402WA-GA001T 14",160,n***s,top
ASUS E402WA-GA001T 14",160,n***s,puas bgt
ASUS X441UB-GA042T 14",42,s***g,dpt harga promo muraaahhh
ASUS X441UB-GA042T 14",42,I***R,Thanks
ASUS X441UB-GA042T 14",42,I***R,Thanks
ASUS X441UB-GA042T 14",42,r***q,good
ASUS X441UB-GA042T 14",42,E***a,puas
ASUS X441UB-GA042T 14",42,R***m,Barang sesuai dgn yg di order  garansi resmi
ASUS X441UB-GA042T 14",42,L***1,Laptop aman dan barang ori
ASUS X441UB-GA042T 14",42,L***1,Makasih JDID barang sampai dengan slamat
ASUS X441UB-GA042T 14",42,p***n,cepat bingitttpesen hari inibesok sampai dan puas bgt dengan kemasan yg apiktengs JDID
ASUS X441UB-GA042T 14",42,s***n,mantap
ASUS A442UR-GA044T 14",97,i***m,Alhamdulillah hatur nuhun atas kerjasama baiknya
ASUS A442UR-GA044T 14",97,a***n,barang OK Original katanya dapat most dan office tapi gak ada  Pengiriman sangat sangat lama padahal ke Bandung
ASUS A442UR-GA044T 14",97,l***5,barang datang agak lama mungkin dikarenakan cuaca sdg hujan dan berdekatan dengan hari libur tetapi status sudah dibawa kurir barang selalu aman dan good condition kalau pesan di jdid harap dipertahankan 
ASUS A442UR-GA044T 14",97,j***c,benarbenar maknyus kondisi setelah dipakai 2 bulan tetap stabil
ASUS A442UR-GA044T 14",97,R***a,bagus
ASUS A442UR-GA044T 14",97,s***9,baguscuman pengiriman lama
ASUS A442UR-GA044T 14",97,m***9,semoga awet bagus putih nya makasihh
ASUS A442UR-GA044T 14",97,d***a,Ok
ASUS A442UR-GA044T 14",97,Y***n,Lumayan
ASUS A442UR-GA044T 14",97,l***y,mksi
ASUS X441UB-GA045T 14",7,A***n,mantap barang bagus
ASUS X441UB-GA045T 14",7,A***n,barang ori ada harga promo lagi top deh
ASUS X441UB-GA045T 14",7,j***o,
ASUS X441UB-GA045T 14",7,n***t,Laptop baru di pakai 2 Minggu sudah tidak menyalamati ga mau hidup kecewa sama JD ID
ASUS X441UB-GA045T 14",7,n***a,nggak sampai 24 jam laptop sampai dengan selamat thx jdid  ketagihan belanja disini 
ASUS X441UB-GA045T 14",7,m***2,puas
ASUS X441UB-GA045T 14",7,d***0,Packing mantap dan pengiriman cepat good job JDID 
ASUS X541NA-BX402T 15.6" HD,58,J***l,
ASUS X541NA-BX402T 15.6" HD,58,B***i,Dijamin ORI Harga bersaing Pengiriman Kilat
ASUS X541NA-BX402T 15.6" HD,58,K***A,brg ok
ASUS X541NA-BX402T 15.6" HD,58,R***n,trimkasih good product
ASUS X541NA-BX402T 15.6" HD,58,A***3,joss
ASUS X541NA-BX402T 15.6" HD,58,T***e,ok
ASUS X541NA-BX402T 15.6" HD,58,d***4,trusted
ASUS X541NA-BX402T 15.6" HD,58,T***n,Cepat sampai barang bagusspekernya mantap buat nonton yutub
ASUS X541NA-BX402T 15.6" HD,58,m***e,ok
ASUS X541NA-BX402T 15.6" HD,58,l***o,Ampun dj 
ASUS X550VQ-XX016D 15.6",2,b***r,hufft  benar benar kosong karna os nya dos  harusnya sudah di kasi windows bawaan saja
ASUS X550VQ-XX016D 15.6",2,g***1,pengiriman sangat cepat  pelayanan bagus  barang mulus mudah2an lancar terus sampe seterusnya dah
